RA,Nome,Fase,Turma,Ano_Dados,Ano_nasc,Idade,Genero,Ano_ingresso,Instituicao_de_ensino,Pedra,INDE,Cg,Cf,Ct,N_Av,Avaliador1,Rec_Av1,Avaliador2,Rec_Av2,Avaliador3,Rec_Av3,Avaliador4,Rec_Av4,IAA,IEG,IPS,IPP,Rec_Psicologia,IDA,Mat,Por,Ing,Indicado,Atingiu_PV,IPV,IAN,Fase_Ideal,Defasagem,Destaque_IEG,Destaque_IDA,Destaque_IPV
RA-108,Aluno-108,4,A,2022,2005,17,Feminino,2019,Escola Pública,Quartzo,5.547,784.0,72.0,15.0,4.0,Avaliador-6,Mantido na Fase atual,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase,4.6,7.7,5.0,,Não indicado,5.0,3.0,5.8,6.2,Não,Não,6.125,2.5,7.0,-3,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-109,Aluno-109,4,A,2022,2006,16,Masculino,2021,Rede Decisão,Topázio,8.512,33.0,4.0,2.0,4.0,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,8.8,10.0,8.8,,Sem limitações,8.4,7.8,7.5,9.9,Não,Sim,8.667,5.0,6.0,-2,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.
RA-11,Aluno-11,7,A,2022,2004,18,Feminino,2016,Escola Pública,Quartzo,5.323,799.0,19.0,11.0,4.0,Avaliador-5,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-28,Mantido na Fase atual,Avaliador-31,Mantido na Fase atual,9.2,4.2,5.0,,Requer avaliação,3.0,1.8,2.5,4.5,Não,Não,6.389,5.0,8.0,-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-110,Aluno-110,4,A,2022,2008,14,Masculino,2017,Rede Decisão,Topázio,8.15,100.0,10.0,3.0,4.0,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-30,Mantido na Fase atual,Avaliador-31,Promovido de Fase + Bolsa,9.2,9.7,5.6,,Requer avaliação,6.7,8.3,5.7,6.0,Não,Não,8.0,10.0,4.0,0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.
RA-111,Aluno-111,4,A,2022,2009,13,Feminino,2020,Rede Decisão,Topázio,8.646,22.0,2.0,1.0,4.0,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,7.5,9.4,8.1,,Sem limitações,8.0,6.7,7.5,9.7,Não,Sim,8.667,10.0,3.0,1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.
RA-112,Aluno-112,4,A,2022,2007,15,Feminino,2016,Rede Decisão,Ametista,7.836,189.0,17.0,6.0,4.0,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,7.9,7.8,6.3,,Sem limitações,8.5,9.0,7.5,9.1,Não,Sim,8.833,5.0,5.0,-1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.
RA-113,Aluno-113,4,A,2022,2007,15,Feminino,2017,Rede Decisão,Quartzo,3.032,862.0,76.0,16.0,4.0,Avaliador-6,Alocado em Fase anterior,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Alocado em Fase anterior,0.0,0.0,5.0,,Não indicado,3.7,3.3,5.5,2.3,Não,Não,3.792,5.0,5.0,-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-114,Aluno-114,4,A,2022,2006,16,Masculino,2022,Escola Pública,Quartzo,5.894,738.0,66.0,13.0,4.0,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-30,Mantido na Fase atual,Avaliador-31,Alocado em Fase anterior,7.9,6.3,7.5,,Sem limitações,5.3,6.0,4.5,,Não,Não,5.0,5.0,6.0,-2,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-115,Aluno-115,4,A,2022,2006,16,Feminino,2019,Escola Pública,Quartzo,5.886,740.0,67.0,14.0,4.0,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-30,Mantido na Fase atual,Avaliador-31,Promovido de Fase,8.3,6.8,6.3,,Requer avaliação,3.8,3.0,5.7,2.7,Não,Não,5.583,5.0,6.0,-2,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-116,Aluno-116,4,B,2022,2006,16,Feminino,2019,Escola Pública,Ágata,6.854,538.0,46.0,8.0,4.0,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,5.8,8.1,6.3,,Sem limitações,5.9,5.0,7.2,5.5,Sim,Não,7.792,5.0,6.0,-2,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.
RA-117,Aluno-117,4,B,2022,2007,15,Feminino,2022,Escola Pública,Ágata,6.685,593.0,55.0,10.0,4.0,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase,7.9,6.3,6.9,,Requer avaliação,6.1,4.7,6.7,7.0,Não,Não,7.417,5.0,5.0,-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-118,Aluno-118,4,B,2022,2008,14,Feminino,2021,Escola Pública,Quartzo,5.597,775.0,70.0,12.0,4.0,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-30,Mantido na Fase atual,Avaliador-31,Promovido de Fase,0.0,5.3,6.3,,Sem limitações,3.9,3.7,4.7,3.5,Não,Não,6.958,10.0,4.0,0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-119,Aluno-119,4,B,2022,2008,14,Feminino,2016,Rede Decisão,Ametista,7.501,311.0,26.0,3.0,4.0,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,8.3,8.2,5.6,,Requer avaliação,5.4,5.7,7.0,3.4,Não,Não,7.875,10.0,4.0,0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.
RA-12,Aluno-12,7,A,2022,2005,17,Feminino,2020,Escola Pública,Quartzo,4.832,834.0,20.0,12.0,4.0,Avaliador-5,Promovido de Fase,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-28,Mantido na Fase atual,Avaliador-31,Mantido na Fase atual,0.0,4.0,6.9,,Sem limitações,1.5,2.7,1.1,0.7,Sim,Não,6.389,10.0,7.0,0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-120,Aluno-120,4,B,2022,2007,15,Masculino,2019,Escola Pública,Ágata,6.825,547.0,48.0,9.0,4.0,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,8.3,5.9,7.5,,Não atendido,6.2,3.7,5.2,9.7,Sim,Não,7.667,5.0,5.0,-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.
RA-121,Aluno-121,4,B,2022,2006,16,Feminino,2021,Escola Pública,Ametista,7.245,413.0,33.0,5.0,4.0,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,7.1,8.4,6.3,,Sem limitações,7.2,5.7,6.8,9.0,Sim,Não,7.625,5.0,6.0,-2,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.
RA-122,Aluno-122,4,B,2022,2008,14,Feminino,2019,Escola Pública,Quartzo,5.061,818.0,74.0,14.0,4.0,Avaliador-6,Mantido na Fase atual,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Alocado em Fase anterior,7.9,3.4,7.5,,Não atendido,1.8,1.7,3.7,0.0,Não,Não,4.958,10.0,4.0,0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-123,Aluno-123,4,B,2022,2006,16,Masculino,2017,Rede Decisão,Ametista,7.084,461.0,37.0,6.0,4.0,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,7.9,8.6,5.6,,Requer avaliação,6.5,7.3,6.3,5.9,Não,Não,7.292,5.0,6.0,-2,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-124,Aluno-124,4,B,2022,2008,14,Masculino,2016,Rede Decisão,Ametista,7.388,365.0,29.0,4.0,4.0,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase,7.9,7.8,5.0,,Requer avaliação,6.7,5.7,7.0,7.5,Não,Não,7.167,10.0,4.0,0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-125,Aluno-125,4,B,2022,2007,15,Feminino,2022,Escola Pública,Ametista,7.619,266.0,21.0,2.0,4.0,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,8.8,8.5,7.5,,Não atendido,7.1,5.0,7.2,9.2,Sim,Não,7.75,5.0,5.0,-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.
RA-126,Aluno-126,4,B,2022,2007,15,Masculino,2018,Escola Pública,Ágata,6.289,689.0,62.0,11.0,4.0,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,7.1,5.8,7.5,,Não atendido,4.4,4.0,5.0,4.2,Sim,Não,7.417,5.0,5.0,-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-127,Aluno-127,4,B,2022,2008,14,Feminino,2022,Escola Pública,Topázio,8.283,63.0,7.0,1.0,4.0,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,7.5,8.7,7.5,,Não atendido,7.9,7.7,7.7,8.3,Sim,Não,8.125,10.0,4.0,0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.
RA-128,Aluno-128,4,B,2022,2007,15,Masculino,2019,Escola Pública,Quartzo,5.563,778.0,71.0,13.0,4.0,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-30,Mantido na Fase atual,Avaliador-31,Promovido de Fase,0.0,6.2,7.5,,Não atendido,5.6,6.7,6.8,3.2,Sim,Não,6.167,5.0,5.0,-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-129,Aluno-129,4,B,2022,2007,15,Masculino,2019,Escola Pública,Ágata,6.926,516.0,42.0,7.0,4.0,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,6.7,6.4,7.5,,Não atendido,6.7,6.0,5.3,8.7,Sim,Não,7.792,5.0,5.0,-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.
RA-13,Aluno-13,7,A,2022,2004,18,Masculino,2016,Escola Pública,Ágata,6.902,524.0,10.0,4.0,4.0,Avaliador-5,Promovido de Fase,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-28,Promovido de Fase + Bolsa,Avaliador-31,Mantido na Fase atual,7.9,7.4,7.5,,Sem limitações,4.7,3.5,5.5,5.2,Sim,Não,8.056,5.0,8.0,-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.
RA-130,Aluno-130,4,F,2022,2006,16,Feminino,2018,Escola Pública,Quartzo,5.624,772.0,69.0,14.0,4.0,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase,8.3,4.7,5.0,,Requer avaliação,4.1,3.7,5.2,3.5,Não,Não,6.5,5.0,6.0,-2,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-131,Aluno-131,4,F,2022,2007,15,Feminino,2016,Escola Pública,Ametista,7.174,440.0,35.0,7.0,4.0,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,8.8,9.0,5.6,,Sem limitações,5.6,6.0,6.5,4.2,Sim,Não,7.75,5.0,5.0,-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.
RA-132,Aluno-132,4,F,2022,2008,14,Feminino,2019,Rede Decisão,Topázio,8.355,53.0,5.0,2.0,4.0,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Promovido de Fase,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,10.0,8.8,5.6,,Sem limitações,7.7,6.5,7.5,9.1,Não,Sim,8.458,10.0,4.0,0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.
RA-133,Aluno-133,4,F,2022,2007,15,Feminino,2016,Escola Pública,Ágata,6.875,530.0,45.0,10.0,4.0,Avaliador-6,Promovido de Fase,Avaliador-27,Promovido de Fase,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase,7.9,7.1,7.5,,Não atendido,5.6,4.7,7.2,5.0,Não,Não,7.625,5.0,5.0,-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.
RA-134,Aluno-134,4,F,2022,2007,15,Feminino,2021,Escola Pública,Ágata,6.607,623.0,56.0,12.0,4.0,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Promovido de Fase,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase,8.8,6.8,7.5,,Não atendido,4.7,4.7,6.8,2.5,Sim,Não,7.375,5.0,5.0,-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-135,Aluno-135,4,F,2022,2007,15,Feminino,2019,Escola Pública,Ametista,7.692,237.0,20.0,4.0,4.0,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-30,Promovido de Fase + Bolsa,Avaliador-31,Promovido de Fase + Bolsa,8.3,7.8,5.6,,Sem limitações,8.6,8.0,8.2,9.5,Sim,Sim,8.583,5.0,5.0,-1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.
RA-136,Aluno-136,4,F,2022,2007,15,Masculino,2019,Escola Pública,Ágata,6.478,646.0,59.0,13.0,4.0,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-30,Mantido na Fase atual,Avaliador-31,Promovido de Fase,10.0,6.3,7.5,,Não atendido,4.6,5.3,5.7,2.8,Não,Não,6.667,5.0,5.0,-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-137,Aluno-137,4,F,2022,2005,17,Feminino,2016,Rede Decisão,Ametista,7.056,468.0,38.0,9.0,4.0,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Promovido de Fase,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,7.5,8.9,5.0,,Requer avaliação,7.3,6.0,7.3,8.5,Não,Não,7.792,2.5,7.0,-3,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.
RA-138,Aluno-138,4,F,2022,2007,15,Masculino,2016,Escola Pública,Ágata,6.738,573.0,53.0,11.0,4.0,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,9.6,8.0,5.6,,Requer avaliação,5.6,5.0,6.5,5.2,Sim,Não,6.375,5.0,5.0,-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-139,Aluno-139,4,F,2022,2005,17,Masculino,2019,Escola Pública,Quartzo,3.738,858.0,75.0,15.0,4.0,Avaliador-6,Mantido na Fase atual,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Alocado em Fase anterior,7.1,3.5,5.0,,Requer avaliação,1.4,1.7,2.7,0.0,Não,Não,3.917,2.5,7.0,-3,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-14,Aluno-14,7,D,2022,2001,21,Masculino,2022,Escola Pública,Ágata,6.793,558.0,12.0,7.0,4.0,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-29,Mantido na Fase atual,Avaliador-31,Mantido na Fase atual,7.9,8.3,7.5,,Não atendido,4.0,8.0,0.0,,Sim,Não,7.75,5.0,8.0,-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.
RA-140,Aluno-140,4,F,2022,2008,14,Feminino,2021,Escola Pública,Ametista,7.407,358.0,28.0,6.0,4.0,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-30,Promovido de Fase + Bolsa,Avaliador-31,Promovido de Fase,7.9,7.6,6.9,,Não atendido,5.7,5.0,6.5,5.6,Sim,Não,7.667,10.0,4.0,0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.
RA-141,Aluno-141,4,F,2022,2008,14,Masculino,2017,Escola Pública,Ametista,7.118,450.0,36.0,8.0,4.0,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-30,Mantido na Fase atual,Avaliador-31,Promovido de Fase,9.2,8.2,5.6,,Requer avaliação,5.7,5.8,6.2,5.0,Não,Não,5.917,10.0,4.0,0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
